key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate	height_map_mesh	ground_type	can_burn	audio_count_as_urban
#battlefield_buildings_tables;20;db/battlefield_buildings_tables/pierce_bettersieges																			
brt_wall_gatehouse_60	gate	brt_wall_gatehouse_60	rock	25000		gate	100	gate.tga	false	0	true		false	false	1.0000	false	rock	false	false
brt_wall_straight_20	fort_wall	brt_wall_straight_20	rock	20000		fort_wall	100	wall.tga	false	0	true		false	false	1.0000	false	rock	false	false
brt_wall_tower	fort_tower	brt_wall_tower	rock	6500	wh_tower_brt_arrow	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
brt_wall_tower_01	fort_tower	brt_wall_tower	rock	7500	wh_tower_brt_arrow_improved	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
brt_wall_tower_02	fort_tower	brt_wall_tower	rock	8000	wh_tower_brt_blessed_stone	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
brt_wall_tower_03	fort_tower	brt_wall_tower	rock	8500	wh_tower_brt_carcass	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
def_wall_gatehouse_60	gate	def_wall_gatehouse_60	rock	25000		gate	100	gate.tga	false	0	true		false	false	1.0000	false	rock	false	false
def_wall_straight_20	fort_wall	def_wall_straight_20	rock	20000		fort_wall	100	wall.tga	false	0	true		false	false	1.0000	false	rock	false	false
def_wall_straight_20_blocked	fort_wall	def_wall_straight_20_blocked	rock	20000			100	wall.tga	false	0	true		false	false	1.0000	false	rock	false	true
def_wall_tower	fort_tower	def_wall_tower	rock	6500	wh2_tower_def_bolt_1	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
def_wall_tower_01	fort_tower	def_wall_tower	rock	7500	wh2_tower_def_bolt_2	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
def_wall_tower_02	fort_tower	def_wall_tower	rock	8000	wh2_tower_def_magic_missile_1	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
def_wall_tower_03	fort_tower	def_wall_tower	rock	8500	wh2_tower_def_magic_missile_2	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
dwf_wall_gatehouse_60	gate	dwf_wall_gatehouse_60	rock	25000		gate	100	gate.tga	false	0	true		false	false	1.0000	false	rock	false	false
dwf_wall_straight_20	fort_wall	dwf_wall_straight_20	rock	20000		fort_wall	100	wall.tga	false	0	true		false	false	1.0000	false	rock	false	false
dwf_wall_straight_20_stairs	fort_wall	dwf_wall_straight_20_stairs	rock	20000			100		false	0	true		false	false	1.0000	false	rock	false	false
dwf_wall_tower	fort_tower	dwf_wall_tower	rock	6500	wh_tower_dwf_bullet	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
dwf_wall_tower_01	fort_tower	dwf_wall_tower	rock	7500	wh_tower_dwf_bullet_improved	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
dwf_wall_tower_02	fort_tower	dwf_wall_tower	rock	8000	wh_tower_dwf_cannon_ball	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
dwf_wall_tower_03	fort_tower	dwf_wall_tower	rock	8500	wh_tower_dwf_fused_beer_keg	fort_tower	100	tower.tga	false	0	true		false	false	1.0000	false	wooden_floor	false	false
emp_wall_gatehouse_60	gate	emp_wall_gatehouse_60	rock	25000		gate	100	gate.tga	false	0	true		false	false	1.0000	false	rock	false	true
emp_wall_straight_20	fort_wall	emp_wall_straight_20	rock	20000		fort_wall	100	wall.tga	false	0	true		false	false	1.0000	false	rock	false	true
emp_wall_straight_20_tower_connector	fort_wall	emp_wall_straight_20_tower_connector	rock	20000			100		false	0	true		false	false	1.0000	false	rock	false	true
