key	hit_points	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
#battlefield_siege_vehicles_tables;18;db/battlefield_siege_vehicles_tables/pierce_bettersieges																			
brt_battering_ram	20000	brt_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	0	0.3750	
brt_siege_tower_15m	10800	brt_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	6	0.7500	wh_war_machine_brt_large
bst_battering_ram	20000	bst_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	13	0.3750	
bst_siege_tower_15m	10800	bst_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	14	0.7500	
chs_battering_ram	20000	chs_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	1	0.3750	
chs_siege_tower_15m	10800	chs_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	7	0.7500	
cst_battering_ram	20000	cst_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
cst_siege_tower_15m	10800	cst_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	7	0.7500	
def_battering_ram	20000	def_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
def_siege_tower_15m	10800	def_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	14	0.7500	
dwf_battering_ram	20000	dwf_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	2	0.3750	
dwf_siege_tower_15m	10800	dwf_siege_tower_15m	siege_tower		3.1000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	8	0.7500	
emp_battering_ram	20000	emp_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
emp_siege_tower_15m	10800	emp_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	0.7500	
grn_battering_ram	20000	grn_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	4	0.3750	
grn_siege_tower_15m	10800	grn_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	11	0.7500	
hef_battering_ram	20000	hef_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
hef_siege_tower_15m	10800	hef_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	0.7500	
lzd_battering_ram	20000	lzd_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	1	0.3750	wh2_siege_tower_lizardmen
