level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution
#building_levels_tables;16;db/building_levels_tables/@pierce_better_sieges																										
wh2_main_def_defence_major_1	wh2_main_def_defence_major	0	3	2500	0		false	0	0	0	0	false				true	wh2_main_def_defence_major	false	0.0000	0	true	2		true	0	0
wh2_main_def_defence_major_2	wh2_main_def_defence_major	1	4	5000	0		false	0	0	0	0	false				true	wh2_main_def_defence_major	false	0.0000	0	true	3		true	0	0
wh2_main_def_defence_major_3	wh2_main_def_defence_major	2	5	7500	0		false	0	0	0	0	false				true	wh2_main_def_defence_major	false	0.0000	0	true	4		true	0	0
wh2_main_hef_defence_major_1	wh2_main_hef_defence_major	0	3	2500	0		false	0	0	0	0	false				true	wh2_main_hef_defence_major	false	0.0000	0	true	2		true	0	0
wh2_main_hef_defence_major_2	wh2_main_hef_defence_major	1	4	5000	0		false	0	0	0	0	false				true	wh2_main_hef_defence_major	false	0.0000	0	true	3		true	0	0
wh2_main_hef_defence_major_3	wh2_main_hef_defence_major	2	5	7500	0		false	0	0	0	0	false				true	wh2_main_hef_defence_major	false	0.0000	0	true	4		true	0	0
wh2_main_skv_defence_major_1	wh2_main_skv_defence_major	0	3	3500	0		false	0	0	0	0	false				true	wh2_main_skv_defence_major	false	0.0000	0	true	2		true	0	0
wh2_main_skv_defence_major_2	wh2_main_skv_defence_major	1	4	5500	0		false	0	0	0	0	false				true	wh2_main_skv_defence_major	false	0.0000	0	true	3		true	0	0
wh2_main_skv_defence_major_3	wh2_main_skv_defence_major	2	5	7500	0		false	0	0	0	0	false				true	wh2_main_skv_defence_major	false	0.0000	0	true	4		true	0	0
wh2_main_lzd_defence_major_1	wh2_main_lzd_defence_major	0	3	2500	0		false	0	0	0	0	false				true	wh2_main_lzd_defence_major	false	0.0000	0	true	2		true	0	0
wh2_main_lzd_defence_major_2	wh2_main_lzd_defence_major	1	4	5000	0		false	0	0	0	0	false				true	wh2_main_lzd_defence_major	false	0.0000	0	true	3		true	0	0
wh2_main_lzd_defence_major_3	wh2_main_lzd_defence_major	2	5	7500	0		false	0	0	0	0	false				true	wh2_main_lzd_defence_major	false	0.0000	0	true	4		true	0	0
