agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/pierce_lthelis_elves	
wh2_main_def_kouran_darkhand	wh2_main_anc_def_kouran_darkhand_crimson_death
wh2_main_def_kouran_darkhand	wh2_main_anc_def_kouran_darkhand_armour_armour_of_grief
wh2_main_def_cha_lilaeth	wh2_main_anc_mount_def_manticore
wh2_main_def_cha_lilaeth	wh2_main_anc_weapon_def_lilaeth_staff_of_doom
wh2_main_def_cha_lilaeth	wh2_main_anc_armour_kharibdyss_armour
wh2_main_hef_cha_aurelion	wh2_main_anc_mount_hef_aurelion_elven_steed
wh2_main_hef_cha_aurelion	wh2_main_anc_mount_hef_aurelion_moon_dragon
wh2_main_hef_cha_aurelion	wh2_main_anc_aurelion_talisman_amulet_of_the_stars
wh2_main_hef_cha_aurelion	wh2_main_anc_aurelion_weapon_iceshard_staff
wh2_main_hef_lirazel	wh2_main_anc_weapon_hef_lirazel_star_bow_of_avelorn
wh2_main_wef_cha_draya	wh2_main_anc_weapon_spear_of_cythral
wh2_main_wef_cha_draya	wh2_main_anc_armour_nighthawk_armour
