bonus_value_id	effect_key	battle_context_key
#effect_bonus_value_battle_context_junctions_tables;0;db/effect_bonus_value_battle_context_junctions_tables/pierce_lthelis_elves		
melee_attack_mod	wh2_dlc09_effect_force_army_battle_unit_melee_attack_during_ambushes	fighting_force_status_yours_ambushing
melee_attack_mod	wh2_dlc09_effect_force_unit_stat_melee_attack_versus_tomb_kings	fighting_culture_tomb_kings
morale	wh2_dlc09_effect_force_unit_stat_morale_versus_tomb_kings	fighting_culture_tomb_kings
melee_damage_ap_mod_mult	wh2_dlc10_alarielle_effect_character_stat_mod_melee_damage_versus_chaos_norsca	fighting_culture_chaos
melee_damage_mod_mult	wh2_dlc10_alarielle_effect_character_stat_mod_melee_damage_versus_chaos_norsca	fighting_culture_chaos
miscast_chance_mod	wh2_dlc10_alarielle_effect_character_stat_mod_miscast_chance_vs_chaos	fighting_culture_chaos
damage_vs_large_entities	wh2_dlc10_alarielle_effect_unit_stat_mod_bonus_v_large_fighting_chaos	fighting_culture_chaos
melee_damage_ap_mod_mult	wh2_dlc10_effect_bonus_melee_attack_fighting_against_any_elves_character	fighting_culture_any_elves
melee_damage_mod_mult	wh2_dlc10_effect_bonus_melee_attack_fighting_against_any_elves_character	fighting_culture_any_elves
unit_damage_resistance_all_mod	wh2_dlc10_effect_character_stat_mod_ward_save_vs_chaos_norsca_beastmen	fighting_culture_beastmen_chaos_norsca
unit_damage_resistance_all_mod	wh2_dlc10_effect_character_stat_mod_ward_save_vs_greenskins_skaven	fighting_culture_greenskins_skaven
charge_bonus	wh2_dlc10_effect_force_charge_increase_dwf_foreign_territory	fighting_territory_enemy_or_neutral_or_allied_army
melee_damage_ap_mod_mult	wh2_dlc10_effect_force_unit_stat_melee_damage_versus_dark_elves	fighting_culture_darkelf
melee_damage_mod_mult	wh2_dlc10_effect_force_unit_stat_melee_damage_versus_dark_elves	fighting_culture_darkelf
missile_damage_mod_mult	wh2_dlc10_effect_force_unit_stat_missile_damage_versus_dark_elves	fighting_culture_darkelf
morale	wh2_dlc10_effect_rite_def_drakira_leadership_vs_hef	fighting_culture_highelf
melee_damage_ap_mod_mult	wh2_dlc10_effect_rite_def_drakira_weapon_vs_hef	fighting_culture_highelf
melee_damage_mod_mult	wh2_dlc10_effect_rite_def_drakira_weapon_vs_hef	fighting_culture_highelf
melee_attack_mod	wh2_dlc10_effect_skill_melee_attack_vs_chaos_norsca_beastmen	fighting_culture_beastmen_chaos_norsca
melee_damage_ap_mod_add	wh2_dlc11_effect_army_battle_ap_damage_vs_chaos	fighting_culture_chaos
melee_damage_ap_mod_add	wh2_dlc11_effect_army_battle_ap_damage_vs_dwarfs	fighting_culture_dwarfs
melee_attack_mod	wh2_dlc11_effect_bonus_melee_attack_fighting_against_bretonnia_enemies	fighting_culture_bretonnia_enemies
melee_attack_mod	wh2_dlc11_effect_bonus_melee_attack_fighting_against_vampire_coasts	fighting_culture_vampire_coast
morale	wh2_dlc11_effect_bonus_morale_fighting_against_bretonnia_enemies	fighting_culture_bretonnia_enemies
morale	wh2_dlc11_effect_bonus_morale_fighting_against_vampire_coasts	fighting_culture_vampire_coast
unit_damage_resistance_all_mod	wh2_dlc11_effect_character_stat_mod_ward_save_vs_skaven	fighting_culture_skaven
charge_bonus	wh2_dlc11_effect_force_charge_increase_vs_norsca	fighting_culture_norsca
