effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/pierce_lthelis_elves		
wh2_main_effect_ability_enable_crimson_death	enable	wh2_main_weapon_abilities_crimson_death
wh2_main_effect_ability_passive_enable_armour_of_grief	enable	wh2_main_armour_passive_armour_of_grief
wh2_main_effect_ability_enable_staff_of_doom	enable	wh2_main_spell_dark_magic_staff_of_doom
wh2_dlc12_effect_magic_cooldown_all_lores	recharge_mod	wh2_main_spell_death_magic_steal_life
wh2_dlc14_effect_magic_cost_all_lores	cost_mod	wh2_main_spell_death_magic_steal_life
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh2_main_spell_death_magic_steal_life
wh2_main_effect_magic_death_cooldown_steal_life	recharge_mod	wh2_main_spell_death_magic_steal_life
wh2_main_effect_magic_death_enable_steal_life	enable	wh2_main_spell_death_magic_steal_life
wh2_main_effect_magic_death_reduce_wom_cost_steal_life	cost_mod	wh2_main_spell_death_magic_steal_life
wh2_main_lilaeth_effect_ability_disable_shroud_of_despair	disable	wh2_main_lord_passive_shroud_of_despair
wh2_main_lilaeth_skill_ability_enable_shroud_of_despair	enable	wh2_main_lord_passive_shroud_of_despair
wh2_main_lilaeth_skill_ability_enable_empowered_shroud_of_despair	enable	wh2_main_lord_passive_empowered_shroud_of_despair
wh2_main_spell_ability_enable_kharibdyss_armour	enable	wh2_main_spell_kharibdyss_armour
wh2_dlc12_effect_magic_cooldown_all_lores	recharge_mod	wh2_main_spell_heaven_lightning_storm
wh2_dlc14_effect_magic_cost_all_lores	cost_mod	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_magic_heaven_cooldown_lightning_storm	recharge_mod	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_magic_heaven_enable_lightning_storm	enable	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_magic_heaven_reduce_wom_cost_lightning_storm	cost_mod	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_magic_heaven_miscast_reduction_lightning_storm	miscast_percentage_mod	wh2_main_spell_heaven_lightning_storm
wh2_main_effect_ability_enable_aurelion_iceshard_staff	enable	wh2_main_weapon_abilities_iceshard_staff
wh2_main_effect_ability_disable_passive_protection_of_saphery	disable	wh2_main_lord_passive_protection_of_saphery
wh2_main_skill_ability_passive_protection_of_saphery	enable	wh2_main_lord_passive_protection_of_saphery
wh2_main_skill_ability_passive_empowered_protection_of_saphery	enable	wh2_main_lord_passive_empowered_protection_of_saphery
wh2_main_effect_character_ability_shield_of_hoeth	enable	wh2_main_character_abilities_shield_of_hoeth
wh2_main_effect_ability_enable_star_bow_of_avelorn	enable	wh2_main_weapon_abilities_star_bow_of_avelorn
wh2_main_effect_ability_enable_spear_of_cythral	enable	wh2_main_weapon_abilities_spear_of_cythral
