effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/pierce_lthelis_elves					
wh2_main_def_trait_name_dummy_kouran_darkhand		0		campaign	true
wh2_main_effect_unit_attribute_enable_unbreakable_blackguard	attribute_unbreakable.png	620	attribute_unbreakable.png	battle	true
wh2_main_effect_skill_upkeep_reduction_def_blackguard	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_skill_unit_xp_levels_def_blackguard	experience.png	120	experience.png	campaign	true
wh2_main_effect_ability_enable_crimson_death	general_ability.png	600	general_ability.png	battle	true
wh2_main_effect_ability_passive_enable_armour_of_grief	general_ability.png	600	general_ability.png	battle	true
wh2_main_effect_tech_melee_defence_increase_def_kharibdyss_hydra	defence.png	109	defence.png	battle	true
wh2_main_effect_skill_magic_resistance_def_kharibdyss_hydra	resistance_magic.png	704	resistance_magic.png	battle	true
wh2_main_effect_skill_upkeep_reduction_def_kharibdyss_hydra	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_lilaeth_skill_upkeep_cost_reduction_def_medusa	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_lilaeth_skill_melee_attack_increase_def_medusa	melee.png	106	melee.png	battle	true
wh2_main_effect_lilaeth_skill_unit_stat_fatigue_resistance_medusa	vigour.png	701	vigour.png	battle	false
wh2_main_effect_ability_enable_staff_of_doom	spell_ability.png	68	spell_ability.png	battle	true
wh2_main_effect_skill_ward_save_def_sorceress	resistance_ward_save.png	55	resistance_ward_save.png	battle	true
wh2_main_effect_skill_def_miscast_for_sorceress	magic_character.png	111	magic_character.png	battle	false
wh2_main_lilaeth_effect_ability_disable_shroud_of_despair	general_ability.png	6	general_ability.png	both	true
wh2_main_lilaeth_skill_ability_enable_shroud_of_despair	general_ability.png	600	general_ability.png	battle	true
wh2_main_lilaeth_skill_ability_enable_empowered_shroud_of_despair	general_ability.png	600	general_ability.png	battle	true
wh2_main_spell_ability_enable_kharibdyss_armour	spell_ability.png	1	spell_ability.png	battle	true
wh2_main_effect_magic_death_cooldown_steal_life	magic_cooldown.png	60	magic_cooldown.png	battle	false
wh2_main_effect_magic_death_enable_steal_life	general_ability.png	600	general_ability.png	battle	true
wh2_main_effect_magic_death_reduce_wom_cost_steal_life	spell_ability.png	67	spell_ability.png	battle	false
wh2_main_effect_magic_heaven_cooldown_lightning_storm	magic_cooldown.png	60	magic_cooldown.png	battle	false
wh2_main_effect_magic_heaven_enable_lightning_storm	general_ability.png	600	general_ability.png	battle	true
wh2_main_effect_ability_enable_aurelion_iceshard_staff	general_ability.png	1	general_ability.png	battle	true
wh2_main_effect_magic_heaven_reduce_wom_cost_lightning_storm	spell_ability.png	67	spell_ability.png	battle	false
wh2_main_effect_magic_heaven_miscast_reduction_lightning_storm	spell_ability.png	111	spell_ability.png	battle	false
wh2_main_effect_ability_disable_passive_protection_of_saphery	general_ability.png	602	general_ability.png	battle	true
wh2_main_skill_ability_passive_protection_of_saphery	general_ability.png	603	general_ability.png	battle	true
wh2_main_skill_ability_passive_empowered_protection_of_saphery	general_ability.png	604	general_ability.png	battle	true
wh2_main_effect_character_ability_shield_of_hoeth	general_ability.png	605	general_ability.png	battle	true
wh2_main_effect_skill_unit_xp_levels_hef_swordmasters	experience.png	120	experience.png	campaign	true
wh2_main_effect_trait_upkeep_reduction_hef_swordmasters_loremaster	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_unit_cap_everqueens_court_guards_ror_0	dlc10_power_of_nature.png	1	dlc10_power_of_nature.png	campaign	true
wh2_main_effect_ability_enable_star_bow_of_avelorn	general_ability.png	1	general_ability.png	battle	true
wh2_main_effect_tech_upkeep_cost_reduction_hef_handmaiden_sisters	military_spending.png	105	military_spending.png	campaign	false
wh2_main_hef_trait_name_dummy_lirazel		0		campaign	true
wh2_main_effect_tech_upkeep_reduction_wef_wildwood	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_tech_melee_damage_large_units_wildwood	weapon_damage.png	108	weapon_damage.png	battle	true
wh2_main_effect_ability_enable_spear_of_cythral	general_ability.png	1	general_ability.png	battle	true
