id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
#special_ability_phases_tables;35;db/special_ability_phases_tables/pierce_lthelis_elves																													
wh2_main_weapon_abilities_crimson_death	30.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	1	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		-1.0000	false	true	true	0.0000	
wh2_main_armour_passive_armour_of_grief	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	0	1.0000	6	4	0	false	0.0000	0.0000	false	0		wh_main_generic_hp_damage_passive		-1.0000	false	true	true	0.0000	
wh2_main_spell_death_magic_steal_life	18.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	0	1.0000	48	1	0	false	0.0000	0.0000	false	0		wh2_main_spell_dark_magic_soul_stealer	wh_main_spell_dark_magic_soul_stealer	-1.0000	false	true	true	0.0000	
wh2_main_spell_death_magic_steal_life_miscast	18.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.5000	48	0.0000	0	0	48	false	0.0000	0.0000	false	0		wh_main_generic_hp_regen	wh_main_item_abilities_potion_of_healing	-1.0000	false	true	true	0.0000	
wh2_main_lord_passive_shroud_of_despair	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_magic_passive		-1.0000	false	true	true	0.0000	
wh2_main_lord_passive_empowered_shroud_of_despair	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_magic_passive		-1.0000	false	true	true	0.0000	
wh2_main_item_passive_item_blood_armour	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence		-1.0000	false	true	true	0.0000	
wh2_main_lord_passive_protection_of_saphery	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_magic_passive		-1.0000	false	true	true	0.0000	
wh2_main_lord_passive_empowered_protection_of_saphery	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_magic_passive		-1.0000	false	true	true	0.0000	
wh2_main_character_abilities_shield_of_hoeth	17.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	-1	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh2_main_ability_shield_of_the_old_ones	-1.0000	false	true	true	0.0000	
wh2_main_weapon_abilities_spear_of_cythral	28.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0.0000	0	1	0	false	0.0000	0.0000	true	0		wh_main_generic_buff_attack_passive		-1.0000	false	true	true	0.0000	
