order	special_ability	phase
#special_ability_to_special_ability_phase_junctions_tables;1;db/special_ability_to_special_ability_phase_junctions_tables/pierce_lthelis_elves		
1	wh2_main_weapon_abilities_crimson_death	wh2_main_weapon_abilities_crimson_death
1	wh2_main_armour_passive_armour_of_grief	wh2_main_armour_passive_armour_of_grief
1	wh2_main_spell_death_magic_steal_life	wh2_main_spell_death_magic_steal_life
1	wh2_main_lord_passive_shroud_of_despair	wh2_main_lord_passive_shroud_of_despair
1	wh2_main_lord_passive_empowered_shroud_of_despair	wh2_main_lord_passive_empowered_shroud_of_despair
1	wh2_main_lord_passive_protection_of_saphery	wh2_main_lord_passive_protection_of_saphery
1	wh2_main_lord_passive_empowered_protection_of_saphery	wh2_main_lord_passive_empowered_protection_of_saphery
1	wh2_main_character_abilities_shield_of_hoeth	wh2_main_character_abilities_shield_of_hoeth
1	wh2_main_weapon_abilities_spear_of_cythral	wh2_main_weapon_abilities_spear_of_cythral
