bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/pierce_lthelis_elves	
anti_large	wh2_main_def_cha_kouran_darkhand
armour_piercing	wh2_main_def_cha_kouran_darkhand
armoured	wh2_main_def_cha_kouran_darkhand
charge_reflector_vs_large	wh2_main_def_cha_kouran_darkhand
spellcaster	wh2_main_def_cha_lilaeth_0
armour_piercing	wh2_main_def_cha_lilaeth_1
dragon_breath_noxious	wh2_main_def_cha_lilaeth_1
scaly_skin	wh2_main_def_cha_lilaeth_1
spellcaster	wh2_main_def_cha_lilaeth_1
meat_shield	wh2_main_def_inf_kharibdyss_corpses
spellcaster	wh2_main_hef_cha_aurelion_0
spellcaster	wh2_main_hef_cha_aurelion_1
very_fast	wh2_main_hef_cha_aurelion_1
spellcaster	wh2_main_hef_cha_aurelion_2
armour_piercing_melee	wh2_main_hef_cha_aurelion_2
dragon_breath_moon	wh2_main_hef_cha_aurelion_2
terror	wh2_main_hef_cha_aurelion_2
anti_large	wh2_main_hef_cha_lirazel_0
bows_of_avelorn	wh2_main_hef_cha_lirazel_0
charge_reflector_vs_large	wh2_main_hef_cha_lirazel_0
charge_reflector_vs_large	wh2_main_wef_cha_draya_0
dodge	wh2_main_wef_cha_draya_0
anti_large	wh2_main_wef_cha_draya_0
