ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/pierce_lthelis_elves	
wh2_main_armour_passive_armour_of_grief	wh_main_all_direct_damage
wh2_main_armour_passive_armour_of_grief	wh_main_all_strong_against_multiple
wh2_main_armour_passive_armour_of_grief	wh_main_all_weak_against_single
wh2_main_spell_dark_magic_staff_of_doom	wh2_main_all_good_against_armour
wh2_main_spell_dark_magic_staff_of_doom	wh2_main_all_magical_damage_major
wh2_main_spell_dark_magic_staff_of_doom	wh2_main_bombardment_medium_strike_aoe
wh2_main_spell_dark_magic_staff_of_doom	wh_main_all_strong_against_single
wh2_main_spell_dark_magic_staff_of_doom	wh_main_all_strong_against_unit
wh2_main_spell_death_magic_steal_life	wh2_main_spell_absorb_hp
wh2_main_spell_death_magic_steal_life	wh_main_all_direct_damage
wh2_main_spell_kharibdyss_armour	wh_main_all_defend_vs_charge
wh2_main_spell_kharibdyss_armour	wh2_all_summon_kharibdyss_corpses
wh2_main_spell_heaven_lightning_storm	wh2_main_all_good_against_armour
wh2_main_spell_heaven_lightning_storm	wh2_main_all_huge_static_aoe
wh2_main_spell_heaven_lightning_storm	wh2_main_all_magical_damage_massive
wh2_main_spell_heaven_lightning_storm	wh_main_all_strong_against_units
wh2_main_spell_heaven_lightning_storm	wh_main_bombardment_large_strike_aoe
wh2_main_weapon_abilities_iceshard_staff	wh2_main_all_good_against_armour
wh2_main_weapon_abilities_iceshard_staff	wh2_main_all_magical_damage_moderate
wh2_main_weapon_abilities_iceshard_staff	wh2_main_bombardment_medium_strike_aoe
wh2_main_weapon_abilities_iceshard_staff	wh_main_all_strong_against_unit
wh2_main_weapon_abilities_iceshard_staff	wh_main_all_weak_against_single
wh2_main_weapon_abilities_star_bow_of_avelorn	wh2_main_all_good_against_armour
wh2_main_weapon_abilities_star_bow_of_avelorn	wh2_main_all_magical_damage_moderate
wh2_main_weapon_abilities_star_bow_of_avelorn	wh2_main_bombardment_medium_strike_aoe
wh2_main_weapon_abilities_star_bow_of_avelorn	wh_main_all_strong_against_unit
wh2_main_weapon_abilities_star_bow_of_avelorn	wh_main_all_weak_against_single
