key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	spawn_is_transformation	wind_down_stance	use_loop_stance	spawn_is_decoy	only_affect_owned_units	ability_available_ui_event	shared_recharge_time
#unit_special_abilities_tables;52;db/unit_special_abilities_tables/pierce_lthelis_elves																																																					
wh2_main_weapon_abilities_crimson_death	35.0000	90.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000		false	0.0000	false	12011971				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee	wh_group_weapon_sharp		vo_battle_special_ability_generic_response	241.0000	0.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_armour_passive_armour_of_grief	-1.0000	-1.0000	-1	15.0000	false	0	-1	true	-1.0000		false	false	false	0.0000		false	0.0000	true	12011972				0.0000	0.0000	wh_abilities_generic_direct_damage					0.0000					vo_battle_special_ability_generic_response	0.0000	233.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_spell_dark_magic_staff_of_doom	7.0000	60.0000	3	0.0000	false	0	0	false	0.0000		false	true	false	200.0000		false	5.0000	false	12011973	wh2_main_spell_dark_magic_doombolt_upgraded		cast_up_long	0.0000	0.0000	wh_spell_generic_bombardment	wh_spell_generic_bombardment	wh_spell_generic_bombardment_active			0.0000		aoe_bombardment	wh2_main_spell_dark_magic_doombolt_upgraded	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0000	245.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_spell_death_magic_steal_life	18.0000	54.0000	-1	0.0000	false	0	-1	false	0.0000		false	true	false	150.0000		true	5.0000	false	12011974			cast_up_medium	9.0000	0.0000	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage_active			1.0000	wh2_main_spell_death_magic_steal_life_miscast	hex_melee	wh2_main_spell_dark_magic_soul_stealer	death_medium	vo_battle_special_ability_spell_cast_negative	117.0000	117.0000				false	false	false	false			false		false	false	false		-1.0000
wh2_main_lord_passive_shroud_of_despair	-1.0000	-1.0000	-1	30.0000	false	0	-1	true	-1.0000		false	false	false	0.0000		false	0.0000	true	12011975				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	91.0000	0.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_lord_passive_empowered_shroud_of_despair	-1.0000	-1.0000	-1	50.0000	false	0	-1	true	-1.0000		false	false	false	0.0000		false	0.0000	true	12011976				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	278.0000	0.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_spell_kharibdyss_armour	1.0000	24.0000	3	0.0000	true	1	0	false	90.0000		true	false	true	60.0000		false	3.0000	false	12011977		wh2_main_def_inf_kharibdyss_corpses	cast_up_medium	0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		threatened	wh2_dlc11_spell_vampires_drowned_dead	deep_medium	vo_battle_special_ability_raise_dead	119.0000	119.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true			false		false	false	false		-1.0000
wh2_main_lord_passive_protection_of_saphery	-1.0000	-1.0000	-1	30.0000	true	-1	0	true	-1.0000		false	false	false	0.0000		false	0.0000	true	12011978				0.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff				0.0000					vo_battle_special_ability_generic_response	234.0000	0.0000				false	false	true	false			false		false	false	false		-1.0000
wh2_main_lord_passive_empowered_protection_of_saphery	-1.0000	-1.0000	-1	60.0000	true	-1	0	true	-1.0000		false	false	false	0.0000		false	0.0000	true	12011979				0.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff				0.0000					vo_battle_special_ability_generic_response	234.0000	0.0000				false	false	true	false			false		false	false	false		-1.0000
