key	text	tooltip
#Loc;1;text/db/pierce_lthelis_elves_ancillaries__.loc		
ancillaries_onscreen_name_wh2_main_anc_def_kouran_darkhand_crimson_death	Crimson Death	true
ancillaries_colour_text_wh2_main_anc_def_kouran_darkhand_crimson_death	A huge halberd once carried by Dark Lord Khalak of Ghrond, the first Captain of the Black Guard. Each captain since has pried it out of his predecessor's dead hands.	true
ancillaries_onscreen_name_wh2_main_anc_def_kouran_darkhand_armour_armour_of_grief	Armour of Grief	true
ancillaries_colour_text_wh2_main_anc_def_kouran_darkhand_armour_armour_of_grief	A magic armour first worn by Arnaetbron, a veteran of the sundering. Those who wish to attack the wearer must endure a shock of paralysing pain.	true
ancillaries_onscreen_name_wh2_main_anc_mount_def_manticore	Manticore	true
ancillaries_colour_text_wh2_main_anc_mount_def_manticore	The roar of a Manticore is guaranteed to send mortals fleeing, for they know a creature of terror is abroad.	true
ancillaries_onscreen_name_wh2_main_anc_weapon_def_lilaeth_staff_of_doom	Staff of Doom	true
ancillaries_colour_text_wh2_main_anc_weapon_def_lilaeth_staff_of_doom	Staff of Doom is a talisman of one of the six High Mistresses of the Covenant of Sorceresses.	true
ancillaries_onscreen_name_wh2_main_anc_armour_kharibdyss_armour	Kharibdyss Armour	true
ancillaries_colour_text_wh2_main_anc_armour_kharibdyss_armour	Made from the corpse of a dead Kharibdyss and infused with dark magic that is has the power summon forth those slain by the Kharibdyss while it was alive.	true
ancillaries_onscreen_name_wh2_main_anc_mount_hef_aurelion_elven_steed	Barded Ithilmar Steed	true
ancillaries_colour_text_wh2_main_anc_mount_hef_aurelion_elven_steed	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	true
ancillaries_onscreen_name_wh2_main_anc_mount_hef_aurelion_moon_dragon	Moon Dragon	true
ancillaries_colour_text_wh2_main_anc_mount_hef_aurelion_moon_dragon	Those that surpass the Sun Dragons in might and enlightenment are known as Moon Dragons.	true
ancillaries_onscreen_name_wh2_main_anc_aurelion_talisman_amulet_of_the_stars	Amulet of the Stars	true
ancillaries_colour_text_wh2_main_anc_aurelion_talisman_amulet_of_the_stars	Passed down from one mage to the next, which has always brought the wearer  luck.	true
ancillaries_onscreen_name_wh2_main_anc_aurelion_weapon_iceshard_staff	Iceshard Staff	true
ancillaries_colour_text_wh2_main_anc_aurelion_weapon_iceshard_staff	Razor-sharp shards of ice hurl from the chill skies to blind and dishearten the foe.	true
ancillaries_onscreen_name_wh2_main_anc_weapon_hef_lirazel_star_bow_of_avelorn	Star Bow of Averlorn	true
ancillaries_colour_text_wh2_main_anc_weapon_hef_lirazel_star_bow_of_avelorn	A powerful enchanted bow only given to the everqueens chief handmaiden to command it power.	true
ancillaries_onscreen_name_wh2_main_anc_weapon_spear_of_cythral	Spear of Cythral	true
ancillaries_colour_text_wh2_main_anc_weapon_spear_of_cythral	A gift from Daith for the Lord of Cythral.	true
ancillaries_onscreen_name_wh2_main_anc_armour_nighthawk_armour	Nighthawk Armour	true
ancillaries_colour_text_wh2_main_anc_armour_nighthawk_armour	Armour Crafted from materials in the wildwoods of Cythral it said to hide users from anyone sight.	true
