key	text	tooltip
#Loc;1;text/db/pierce_lthelis_elves_character_skills.loc		
character_skills_localised_name_wh2_main_skill_kouran_darkhand_unique_01	Loyal to the King	true
character_skills_localised_description_wh2_main_skill_kouran_darkhand_unique_01	On his watch no one will betray the true king of the elves.	false
character_skills_localised_name_wh2_main_skill_kouran_darkhand_unique_02	Efficient Leader	true
character_skills_localised_description_wh2_main_skill_kouran_darkhand_unique_02	He is an extremely efficient leader and is respected and feared by the Dark Elves under his command.	false
character_skills_localised_name_wh2_main_skill_kouran_darkhand_unique_03	Many Have Tried	true
character_skills_localised_description_wh2_main_skill_kouran_darkhand_unique_03	Many have challenged and have failed to take the life of Kouran.	false
character_skills_localised_name_wh2_main_skill_innate_def_kouran_darkhand	Captain of the Guard	true
character_skills_localised_description_wh2_main_skill_innate_def_kouran_darkhand	Malekith, pleased with Kouran's ruthless nature, granted him command of the Black Guard, a position he has held for the last four hundred years.	false
character_skills_localised_name_wh2_main_skill_weapon_def_kouran_darkhand_crimson_death	Crimson Death	true
character_skills_localised_description_wh2_main_skill_weapon_def_kouran_darkhand_crimson_death	A huge halberd once carried by Dark Lord Khalak of Ghrond, the first Captain of the Black Guard. Each captain since has pried it out of his predecessor's dead hands.	false
character_skills_localised_name_wh2_main_skill_armour_def_kouran_darkhand_armour_of_grief	Armour of Grief	true
character_skills_localised_description_wh2_main_skill_armour_def_kouran_darkhand_armour_of_grief	A magic armour first worn by Arnaetbron, a veteran of the sundering. Those who wish to attack the wearer must endure a shock of paralysing pain.	false
character_skills_localised_description_wh2_main_skill_innate_def_lilaeth	A mistress of the Dark Arts, she commands devastatingly destructive magic.	true
character_skills_localised_name_wh2_main_skill_innate_def_lilaeth	Dark Arts	true
character_skills_localised_description_wh2_main_skill_def_lilaeth_dark_abyss	Those that have witnessed the power of what a Sorceresses can do flee in Terror.	true
character_skills_localised_name_wh2_main_skill_def_lilaeth_dark_abyss	Sorceresses of Terror	true
character_skills_localised_description_wh2_main_skill_def_lilaeth_dark_convents	Chief amongst the magic-wielders of Naggaroth are the sisters of the Dark Convent of Sorceresses who are gathered in the great fortress of Ghrond.	true
character_skills_localised_name_wh2_main_skill_def_lilaeth_dark_convents	Dark Convent	true
character_skills_localised_description_wh2_main_skill_def_lilaeth_dark_blessings	Dark Blessing from the winds of magic grants her a degree of protection against magical attack.	true
character_skills_localised_name_wh2_main_skill_def_lilaeth_dark_blessings	Dark Blessing	true
character_skills_localised_description_wh2_main_skill_def_war_on_ulthuan	Ulthuan will once again be plunged into a Bloody War.	true
character_skills_localised_name_wh2_main_skill_def_war_on_ulthuan	War on Ulthuan	true
character_skills_localised_description_wh2_main_skill_def_beasts_of_war	Taking such Warbeasts to Ulthuan to ensure nothing but a Bloody Victory.	true
character_skills_localised_name_wh2_main_skill_def_beasts_of_war	Beasts of War	true
character_skills_localised_description_wh2_main_skill_def_cursed_sisters	Once Sorceresses of Ghrond but now cursed from Atharti are now nothing more then beast with only a sliver of awareness of their beauty and power they had.	true
character_skills_localised_name_wh2_main_skill_def_cursed_sisters	Cursed Sisters	true
character_skills_localised_description_wh2_main_skill_def_mount_manticore	The roar of a Manticore is guaranteed to send mortals fleeing, for they know a creature of terror is abroad.	true
character_skills_localised_name_wh2_main_skill_def_mount_manticore	Manticore	true
character_skills_localised_description_wh2_main_skill_weapon_def_lilaeth_staff_of_doom	Staff of Doom is a talisman of one of the six High Mistresses of the Covenant of Sorceresses.	true
character_skills_localised_name_wh2_main_skill_weapon_def_lilaeth_staff_of_doom	Staff of Doom	true
character_skills_localised_description_wh2_main_skill_def_armour_kharibdyss_armour	Made from the corpse of a dead Kharibdyss and infused with dark magic that is has the power summon forth those slain by the Kharibdyss while it was alive.	true
character_skills_localised_name_wh2_main_skill_def_armour_kharibdyss_armour	Kharibdyss Armour	true
character_skills_localised_description_wh2_main_skill_magic_dark_fire	A mistress of the Dark Arts, she skilled in both dark and fire lores to create devastatingly destructive magic..	true
character_skills_localised_name_wh2_main_skill_magic_dark_fire	Spiteful Flames	true
character_skills_localised_description_wh2_main_skill_def_lilaeth_shroud_of_despair	At the caster’s command, light is driven from the battlefield and numbing darkness rushes to fill the void.	true
character_skills_localised_name_wh2_main_skill_def_lilaeth_shroud_of_despair	Shroud of Despair	true
