key	text	tooltip
#Loc;1;text/db/pierce_lthelis_elves_land_units.loc		
land_units_concealed_name_wh2_main_def_cha_kouran_darkhand		true
land_units_onscreen_name_wh2_main_def_cha_kouran_darkhand	Kouran Darkhand	true
land_units_concealed_name_wh2_main_def_cha_lilaeth_0		true
land_units_onscreen_name_wh2_main_def_cha_lilaeth_0	Lilaeth	true
land_units_concealed_name_wh2_main_def_cha_lilaeth_1		true
land_units_onscreen_name_wh2_main_def_cha_lilaeth_1	Lilaeth	true
land_units_onscreen_name_wh2_main_def_inf_kharibdyss_corpses	Kharibdyss Corpses	true
land_units_concealed_name_wh2_main_hef_cha_aurelion_0		true
land_units_onscreen_name_wh2_main_hef_cha_aurelion_0	Aurelion	true
land_units_concealed_name_wh2_main_hef_cha_aurelion_1		true
land_units_onscreen_name_wh2_main_hef_cha_aurelion_1	Aurelion	true
land_units_concealed_name_wh2_main_hef_cha_aurelion_2		true
land_units_onscreen_name_wh2_main_hef_cha_aurelion_2	Aurelion	true
land_units_concealed_name_wh2_main_hef_cha_lirazel_0		true
land_units_onscreen_name_wh2_main_hef_cha_lirazel_0	Chief Handmaiden Lirazel	true
land_units_concealed_name_wh2_main_wef_cha_draya_0		true
land_units_onscreen_name_wh2_main_wef_cha_draya_0	Draya	true
